configuration,top,elab_params,compile_mode,clock_period_ns,input_delay_ns,output_delay_ns,cell_count,combinational_area,sequential_area,cell_area,design_area,critical_path_ns,critical_path_slack_ns,violating_nets,status,report_dir
area_serial_pattern_conservative14_20ns_io0_structural_report,dss_analyzer_top,PARALLEL_ORIENTATION=0,structural_report,20.0,0.0,0.0,49214,887387.058884,815616.661102,1703003.719986,7406865.756424,189.71,-169.97,2291,PASS,results/phase2/dc_tsmc018_slow/area_serial_pattern_conservative14_20ns_io0_structural_report
blocks_conservative14_multi_config_analyzer_area_engine_structural_report,multi_config_analyzer_area_engine,HYBRID_ENTRY_NUM=14,structural_report,20.0,0.0,0.0,9915,172244.319924,72462.298004,244706.617928,1490759.572335,189.56,-170.10,472,PASS,results/phase2/dc_tsmc018_slow/blocks_conservative14_multi_config_analyzer_area_engine_structural_report
blocks_conservative14_multi_config_early_selector_structural_report,multi_config_early_selector,defaults,structural_report,20.0,0.0,0.0,1199,15095.203381,5022.864029,20118.067410,131885.289303,14.76,4.56,15,PASS,results/phase2/dc_tsmc018_slow/blocks_conservative14_multi_config_early_selector_structural_report
blocks_conservative14_multi_config_group_selector_structural_report,multi_config_group_selector,defaults,structural_report,20.0,0.0,0.0,522,7364.649637,7497.705643,14862.355280,78282.672571,17.09,2.42,5,PASS,results/phase2/dc_tsmc018_slow/blocks_conservative14_multi_config_group_selector_structural_report
blocks_conservative14_pending_repair_buffer_structural_report,pending_repair_buffer,HYBRID_ENTRIES=14,structural_report,20.0,0.0,0.0,7249,117431.899777,317780.972969,435212.872746,1348904.116033,2.27,17.04,494,PASS,results/phase2/dc_tsmc018_slow/blocks_conservative14_pending_repair_buffer_structural_report
blocks_conservative14_repair_decode_area_engine_structural_report,repair_decode_area_engine,ENTRY_NUM=14,structural_report,20.0,0.0,0.0,8133,167278.004297,45857.750656,213135.754953,1288014.530405,126.92,-107.45,562,PASS,results/phase2/dc_tsmc018_slow/blocks_conservative14_repair_decode_area_engine_structural_report
blocks_conservative14_shared_fault_collector_mapped_no_drc,shared_fault_collector,HYBRID_SHARED_ENTRIES=14,mapped_no_drc,20.0,0.0,0.0,5523,240734.895671,97011.131439,337746.027111,970035.975170,12.76,6.81,152,PASS,results/phase2/dc_tsmc018_slow/blocks_conservative14_shared_fault_collector_mapped_no_drc
blocks_conservative14_shared_fault_collector_structural_report,shared_fault_collector,HYBRID_SHARED_ENTRIES=14,structural_report,20.0,0.0,0.0,3945,70642.757514,97011.131439,167653.888953,659009.672034,21.88,-2.32,102,PASS,results/phase2/dc_tsmc018_slow/blocks_conservative14_shared_fault_collector_structural_report
blocks_measured7_multi_config_analyzer_area_engine_structural_report,multi_config_analyzer_area_engine,HYBRID_ENTRY_NUM=7,structural_report,20.0,0.0,0.0,5199,91223.194249,49363.776276,140586.970525,780530.211705,99.05,-79.59,210,PASS,results/phase2/dc_tsmc018_slow/blocks_measured7_multi_config_analyzer_area_engine_structural_report
blocks_measured7_pending_repair_buffer_structural_report,pending_repair_buffer,HYBRID_ENTRIES=7,structural_report,20.0,0.0,0.0,4929,72778.306729,225386.886055,298165.192784,936335.248113,2.26,17.12,350,PASS,results/phase2/dc_tsmc018_slow/blocks_measured7_pending_repair_buffer_structural_report
blocks_measured7_repair_decode_area_engine_structural_report,repair_decode_area_engine,ENTRY_NUM=7,structural_report,20.0,0.0,0.0,4809,93741.279096,45857.750656,139599.029752,788082.342832,69.95,-51.02,313,PASS,results/phase2/dc_tsmc018_slow/blocks_measured7_repair_decode_area_engine_structural_report
blocks_measured7_shared_fault_collector_structural_report,shared_fault_collector,HYBRID_SHARED_ENTRIES=7,structural_report,20.0,0.0,0.0,3393,60350.875805,78496.388687,138847.264493,557402.676175,17.67,1.89,90,PASS,results/phase2/dc_tsmc018_slow/blocks_measured7_shared_fault_collector_structural_report
