case,policy,fault_count,T_last_fault,T_BIST_end,G,T_decision_ready,L_last_fault,L_post,group_repairable
EARLY_DEPTH_SENSITIVE_G0,EARLY,2,20,20,0,25,5,5,1
EARLY_FAILURE_B_G0,EARLY,2,20,20,0,24,4,4,0
GROUP_FAILURE_B_G0,GROUP_NO_SCRATCH,2,20,20,0,41,21,21,0
EARLY_G0,EARLY,2,20,20,0,24,4,4,1
EARLY_G1,EARLY,2,20,21,1,24,4,3,1
EARLY_G2,EARLY,2,20,22,2,24,4,2,1
EARLY_G3,EARLY,2,20,23,3,24,4,1,1
EARLY_G4,EARLY,2,20,24,4,24,4,0,1
EARLY_G8,EARLY,2,20,28,8,24,4,0,1
EARLY_G16,EARLY,2,20,36,16,24,4,0,1
EARLY_G32,EARLY,2,20,52,32,24,4,0,1
GROUP_NO_SCRATCH_G0,GROUP_NO_SCRATCH,2,20,20,0,40,20,20,1
GROUP_NO_SCRATCH_G1,GROUP_NO_SCRATCH,2,20,21,1,40,20,19,1
GROUP_NO_SCRATCH_G2,GROUP_NO_SCRATCH,2,20,22,2,40,20,18,1
GROUP_NO_SCRATCH_G3,GROUP_NO_SCRATCH,2,20,23,3,40,20,17,1
GROUP_NO_SCRATCH_G4,GROUP_NO_SCRATCH,2,20,24,4,40,20,16,1
GROUP_NO_SCRATCH_G8,GROUP_NO_SCRATCH,2,20,28,8,40,20,12,1
GROUP_NO_SCRATCH_G16,GROUP_NO_SCRATCH,2,20,36,16,40,20,4,1
GROUP_NO_SCRATCH_G32,GROUP_NO_SCRATCH,2,20,52,32,40,20,0,1
GROUP_NO_SCRATCH_EARLIEST_ZERO,GROUP_NO_SCRATCH,2,20,40,20,40,20,0,1
