G,N,mean_Delta_Lpost,P50_Delta_Lpost,P95_Delta_Lpost,max_Delta_Lpost,early_less_group_fraction,equal_fraction,early_greater_group_fraction
0,10000,16.306100,16.000000,17.000000,19,1.000000,0.000000,0.000000
1,10000,16.306100,16.000000,17.000000,19,1.000000,0.000000,0.000000
2,10000,16.306100,16.000000,17.000000,19,1.000000,0.000000,0.000000
3,10000,16.306100,16.000000,17.000000,19,1.000000,0.000000,0.000000
4,10000,16.306100,16.000000,17.000000,19,1.000000,0.000000,0.000000
5,10000,15.311200,15.000000,16.000000,18,1.000000,0.000000,0.000000
6,10000,14.314300,14.000000,15.000000,18,1.000000,0.000000,0.000000
7,10000,13.315600,13.000000,14.000000,17,1.000000,0.000000,0.000000
8,10000,12.315600,12.000000,13.000000,16,1.000000,0.000000,0.000000
9,10000,11.315600,11.000000,12.000000,15,1.000000,0.000000,0.000000
10,10000,10.315600,10.000000,11.000000,14,1.000000,0.000000,0.000000
11,10000,9.315600,9.000000,10.000000,13,1.000000,0.000000,0.000000
12,10000,8.315600,8.000000,9.000000,12,1.000000,0.000000,0.000000
13,10000,7.315600,7.000000,8.000000,11,1.000000,0.000000,0.000000
14,10000,6.315600,6.000000,7.000000,10,1.000000,0.000000,0.000000
15,10000,5.315600,5.000000,6.000000,9,1.000000,0.000000,0.000000
16,10000,4.315600,4.000000,5.000000,8,1.000000,0.000000,0.000000
17,10000,3.315600,3.000000,4.000000,7,1.000000,0.000000,0.000000
18,10000,2.315600,2.000000,3.000000,6,1.000000,0.000000,0.000000
19,10000,1.315600,1.000000,2.000000,5,1.000000,0.000000,0.000000
20,10000,0.315600,0.000000,1.000000,4,0.278200,0.721800,0.000000
21,10000,0.037400,0.000000,0.000000,3,0.035100,0.964900,0.000000
22,10000,0.002300,0.000000,0.000000,2,0.002100,0.997900,0.000000
23,10000,0.000200,0.000000,0.000000,1,0.000200,0.999800,0.000000
24,10000,0.000000,0.000000,0.000000,0,0.000000,1.000000,0.000000
25,10000,0.000000,0.000000,0.000000,0,0.000000,1.000000,0.000000
26,10000,0.000000,0.000000,0.000000,0,0.000000,1.000000,0.000000
27,10000,0.000000,0.000000,0.000000,0,0.000000,1.000000,0.000000
28,10000,0.000000,0.000000,0.000000,0,0.000000,1.000000,0.000000
29,10000,0.000000,0.000000,0.000000,0,0.000000,1.000000,0.000000
30,10000,0.000000,0.000000,0.000000,0,0.000000,1.000000,0.000000
31,10000,0.000000,0.000000,0.000000,0,0.000000,1.000000,0.000000
32,10000,0.000000,0.000000,0.000000,0,0.000000,1.000000,0.000000
