policy,G,repairability,N,mean_Lpost,P50_Lpost,P95_Lpost,max_Lpost,zero_latency_fraction,mean_Llast_fault
EARLY,0,repairable,9951,4.002010,4.000000,4.000000,6,0.000000,4.002010
EARLY,0,unrepairable,49,5.530612,5.000000,7.000000,7,0.000000,5.530612
EARLY,1,repairable,9951,3.002010,3.000000,3.000000,5,0.000000,4.002010
EARLY,1,unrepairable,49,4.530612,4.000000,6.000000,6,0.000000,5.530612
EARLY,2,repairable,9951,2.002010,2.000000,2.000000,4,0.000000,4.002010
EARLY,2,unrepairable,49,3.530612,3.000000,5.000000,5,0.000000,5.530612
EARLY,3,repairable,9951,1.002010,1.000000,1.000000,3,0.000000,4.002010
EARLY,3,unrepairable,49,2.530612,2.000000,4.000000,4,0.000000,5.530612
EARLY,4,repairable,9951,0.002010,0.000000,0.000000,2,0.998794,4.002010
EARLY,4,unrepairable,49,1.530612,1.000000,3.000000,3,0.204082,5.530612
EARLY,5,repairable,9951,0.000804,0.000000,0.000000,1,0.999196,4.002010
EARLY,5,unrepairable,49,0.734694,0.000000,2.000000,2,0.530612,5.530612
EARLY,6,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,6,unrepairable,49,0.265306,0.000000,1.000000,1,0.734694,5.530612
EARLY,7,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,7,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,8,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,8,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,9,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,9,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,10,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,10,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,11,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,11,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,12,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,12,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,13,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,13,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,14,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,14,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,15,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,15,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,16,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,16,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,17,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,17,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,18,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,18,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,19,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,19,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,20,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,20,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,21,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,21,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,22,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,22,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,23,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,23,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,24,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,24,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,25,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,25,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,26,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,26,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,27,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,27,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,28,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,28,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,29,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,29,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
EARLY,30,repairable,9951,0.000000,0.000000,0.000000,0,1.000000,4.002010
EARLY,30,unrepairable,49,0.000000,0.000000,0.000000,0,1.000000,5.530612
