policy,G,N,mean_Lpost,P50_Lpost,P95_Lpost,max_Lpost,zero_latency_fraction,mean_Llast_fault,group_repairable_rate
EARLY,0,10000,4.009500,4.000000,4.000000,7,0.000000,4.009500,0.995100
EARLY,1,10000,3.009500,3.000000,3.000000,6,0.000000,4.009500,0.995100
EARLY,2,10000,2.009500,2.000000,2.000000,5,0.000000,4.009500,0.995100
EARLY,3,10000,1.009500,1.000000,1.000000,4,0.000000,4.009500,0.995100
EARLY,4,10000,0.009500,0.000000,0.000000,3,0.994900,4.009500,0.995100
EARLY,5,10000,0.004400,0.000000,0.000000,2,0.996900,4.009500,0.995100
EARLY,6,10000,0.001300,0.000000,0.000000,1,0.998700,4.009500,0.995100
EARLY,7,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,8,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,9,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,10,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,11,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,12,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,13,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,14,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,15,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,16,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,17,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,18,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,19,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,20,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,21,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,22,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,23,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,24,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,25,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,26,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,27,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,28,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,29,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,30,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,31,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
EARLY,32,10000,0.000000,0.000000,0.000000,0,1.000000,4.009500,0.995100
GROUP_NO_SCRATCH,0,10000,20.315600,20.000000,21.000000,24,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,1,10000,19.315600,19.000000,20.000000,23,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,2,10000,18.315600,18.000000,19.000000,22,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,3,10000,17.315600,17.000000,18.000000,21,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,4,10000,16.315600,16.000000,17.000000,20,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,5,10000,15.315600,15.000000,16.000000,19,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,6,10000,14.315600,14.000000,15.000000,18,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,7,10000,13.315600,13.000000,14.000000,17,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,8,10000,12.315600,12.000000,13.000000,16,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,9,10000,11.315600,11.000000,12.000000,15,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,10,10000,10.315600,10.000000,11.000000,14,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,11,10000,9.315600,9.000000,10.000000,13,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,12,10000,8.315600,8.000000,9.000000,12,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,13,10000,7.315600,7.000000,8.000000,11,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,14,10000,6.315600,6.000000,7.000000,10,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,15,10000,5.315600,5.000000,6.000000,9,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,16,10000,4.315600,4.000000,5.000000,8,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,17,10000,3.315600,3.000000,4.000000,7,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,18,10000,2.315600,2.000000,3.000000,6,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,19,10000,1.315600,1.000000,2.000000,5,0.000000,20.315600,0.998800
GROUP_NO_SCRATCH,20,10000,0.315600,0.000000,1.000000,4,0.721800,20.315600,0.998800
GROUP_NO_SCRATCH,21,10000,0.037400,0.000000,0.000000,3,0.964900,20.315600,0.998800
GROUP_NO_SCRATCH,22,10000,0.002300,0.000000,0.000000,2,0.997900,20.315600,0.998800
GROUP_NO_SCRATCH,23,10000,0.000200,0.000000,0.000000,1,0.999800,20.315600,0.998800
GROUP_NO_SCRATCH,24,10000,0.000000,0.000000,0.000000,0,1.000000,20.315600,0.998800
GROUP_NO_SCRATCH,25,10000,0.000000,0.000000,0.000000,0,1.000000,20.315600,0.998800
GROUP_NO_SCRATCH,26,10000,0.000000,0.000000,0.000000,0,1.000000,20.315600,0.998800
GROUP_NO_SCRATCH,27,10000,0.000000,0.000000,0.000000,0,1.000000,20.315600,0.998800
GROUP_NO_SCRATCH,28,10000,0.000000,0.000000,0.000000,0,1.000000,20.315600,0.998800
GROUP_NO_SCRATCH,29,10000,0.000000,0.000000,0.000000,0,1.000000,20.315600,0.998800
GROUP_NO_SCRATCH,30,10000,0.000000,0.000000,0.000000,0,1.000000,20.315600,0.998800
GROUP_NO_SCRATCH,31,10000,0.000000,0.000000,0.000000,0,1.000000,20.315600,0.998800
GROUP_NO_SCRATCH,32,10000,0.000000,0.000000,0.000000,0,1.000000,20.315600,0.998800
