G,early_mean_Lpost,early_P95_Lpost,early_zero_latency_fraction,group_mean_Lpost,group_P95_Lpost,group_zero_latency_fraction
0,4.009500,4.000000,0.000000,20.315600,21.000000,0.000000
1,3.009500,3.000000,0.000000,19.315600,20.000000,0.000000
2,2.009500,2.000000,0.000000,18.315600,19.000000,0.000000
3,1.009500,1.000000,0.000000,17.315600,18.000000,0.000000
4,0.009500,0.000000,0.994900,16.315600,17.000000,0.000000
5,0.004400,0.000000,0.996900,15.315600,16.000000,0.000000
6,0.001300,0.000000,0.998700,14.315600,15.000000,0.000000
7,0.000000,0.000000,1.000000,13.315600,14.000000,0.000000
8,0.000000,0.000000,1.000000,12.315600,13.000000,0.000000
9,0.000000,0.000000,1.000000,11.315600,12.000000,0.000000
10,0.000000,0.000000,1.000000,10.315600,11.000000,0.000000
11,0.000000,0.000000,1.000000,9.315600,10.000000,0.000000
12,0.000000,0.000000,1.000000,8.315600,9.000000,0.000000
13,0.000000,0.000000,1.000000,7.315600,8.000000,0.000000
14,0.000000,0.000000,1.000000,6.315600,7.000000,0.000000
15,0.000000,0.000000,1.000000,5.315600,6.000000,0.000000
16,0.000000,0.000000,1.000000,4.315600,5.000000,0.000000
17,0.000000,0.000000,1.000000,3.315600,4.000000,0.000000
18,0.000000,0.000000,1.000000,2.315600,3.000000,0.000000
19,0.000000,0.000000,1.000000,1.315600,2.000000,0.000000
20,0.000000,0.000000,1.000000,0.315600,1.000000,0.721800
21,0.000000,0.000000,1.000000,0.037400,0.000000,0.964900
22,0.000000,0.000000,1.000000,0.002300,0.000000,0.997900
23,0.000000,0.000000,1.000000,0.000200,0.000000,0.999800
24,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
25,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
26,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
27,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
28,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
29,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
30,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
31,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
32,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
