G,EARLY_zero_fraction,GROUP_zero_fraction
0,0.000000,0.000000
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.994900,0.000000
5,0.996900,0.000000
6,0.998700,0.000000
7,1.000000,0.000000
8,1.000000,0.000000
9,1.000000,0.000000
10,1.000000,0.000000
11,1.000000,0.000000
12,1.000000,0.000000
13,1.000000,0.000000
14,1.000000,0.000000
15,1.000000,0.000000
16,1.000000,0.000000
17,1.000000,0.000000
18,1.000000,0.000000
19,1.000000,0.000000
20,1.000000,0.721800
21,1.000000,0.964900
22,1.000000,0.997900
23,1.000000,0.999800
24,1.000000,1.000000
25,1.000000,1.000000
26,1.000000,1.000000
27,1.000000,1.000000
28,1.000000,1.000000
29,1.000000,1.000000
30,1.000000,1.000000
31,1.000000,1.000000
32,1.000000,1.000000
