severity,fault_count,imbalance,vector_id,first_divergence_sa,early_config,group_config,early_pattern,group_pattern,early_release,group_release,early_donor,group_donor,early_ledger_after_divergence,group_ledger_after_divergence,early_failure_position,group_final_success,mechanism,critical_later_resource
LOW,12,moderate,103,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,500,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,2359,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,2600,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,2778,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,3087,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,3702,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,3722,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,3830,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,4443,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,4919,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,5375,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,5387,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,7666,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,9287,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,12,moderate,9597,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,13,A,CFG0,CFG4,1,2,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,25,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,33,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,51,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,65,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,66,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,72,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,77,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,92,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,100,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,108,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,113,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,124,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,142,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,143,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,167,A,CFG0,CFG4,1,2,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
LOW,16,moderate,209,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
